zahar, 1.5, 50, 2024-02-25
faina, 1.3, 100, 2025-10-31
lapte, 0.95, 120, 2025-10-20
unt, 3.2, 40, 2026-03-12
branza, 4.5, 25, 2025-12-01
oua, 0.2, 360, 2026-01-15
ulei, 2.8, 80, 2027-07-30
orez, 1.1, 200, 2028-05-10
paste, 1.0, 150, 2027-02-18
cafea, 6.75, 60, 2026-11-05
ceai, 2.4, 90, 2026-06-22
iaurt, 0.8, 140, 2025-11-02
smantana, 1.1, 70, 2025-10-28
paine, 0.9, 180, 2025-10-16
biscuiti, 1.6, 110, 2026-08-09
suc, 1.25, 130, 2027-01-20
chipsuri, 1.9, 95, 2026-04-14
sos_tomate, 1.35, 75, 2027-09-03
detergent, 5.9, 45, 2028-12-31
sapun, 0.7, 210, 2029-03-05
